Date,FPA,FPXI,IQDE,IQDY,CHIQ,GEM,ADRA,PAF,IEMG,HEEM,AXJV,EMGF,ACWX,AAXJ,EEMA,AIA,IPOS,CWI,QEMM,MOTI,REMX,VEU,VXUS,AXJL,EMCG,XSOE,DNL,IHDG,DBAP
2016/2/1,-0.004065041,-0.016344086,-0.005467469,-0.016939891,0.006116208,-0.007599464,-0.036860364,-0.075067024,-0.001163467,0.000558347,0.002319417,0.000342231,-0.021153289,0.000215008,0.002484192,0.008535242,-0.028209557,-0.020817844,0.011764706,-0.013239188,0.107355865,-0.021907561,-0.020621181,0.007549612,0.004204204,0,-0.011648079,-0.031325301,-0.039225422
2016/3/1,0.072086504,0.084701815,0.069226609,0.100611451,0.062686567,0.082933217,0.074966533,0.009137636,0.086589823,0.053145336,0.101487603,0.085176626,0.051495972,0.07421305,0.077329808,0.080944798,0.097748815,0.055801922,0.073415946,0.062714777,0.066208083,0.054801809,0.053323225,0.074795726,0.10428737,0.085929108,0.067153285,-0.003218021,0.000516796
2016/4/1,-0.006795017,0.013285024,0.024040921,0.039446721,0.020657277,0.003231018,0.00968829,0.134408602,0.008553655,-0.002065049,0.003626473,0.012191405,0.033940397,-0.005465548,-0.010269049,-0.00148662,-0.001618996,0.032144119,0.019188836,0.036193575,0.07807571,0.028978139,0.031992244,0.002956248,0.004721931,0.003394762,0.017115472,0.003652597,0.0625
2016/5/2,-0.037163443,-0.013481364,-0.022354694,-0.016216216,-0.036900369,-0.02942362,0.007104053,0.010975306,-0.031942298,-0.013408974,-0.010036496,-0.030569007,-0.018557794,-0.014114879,-0.008699254,-0.004948046,-0.031891892,-0.016678012,-0.032699295,-0.03610675,-0.010035842,-0.014236622,-0.016332245,-0.023800234,-0.028720627,-0.041082649,-0.022241993,0.025641026,0.022145669
2016/6/1,0.032858274,-0.037606146,0.011692933,-0.010040161,-0.00097371,0.045209457,-0.012879103,-0.049951267,0.043362596,0.021477213,0.019674147,0.038401499,-0.008101539,0.034276604,0.039815591,0.047158104,-0.031267448,-0.007620367,0.035532995,-0.039087948,-0.002132196,-0.006478943,-0.009248281,0.046971817,0.053763441,-0.00804829,0.017751479,-0.01684293,-0.02688172
2016/7/1,0.069423369,0.054461667,0.044589178,0.048460374,0.043478261,0.038869258,0.069444444,0.023130301,0.043027082,0.029918864,0.017476303,0.072459411,0.038263229,0.045680428,0.039711191,0.044527771,0.059942363,0.040347826,0.038290671,0.029560811,0.036827195,0.039259815,0.042253521,0.045419992,0.057653061,0.093813387,0.035095513,0.032630322,0.013598834
2016/8/1,-0.009929078,0.025069638,-0.009187621,0.019893256,0.030470914,0.008327025,0.025380711,0.073599598,0.012159533,0.017777778,0.017426663,-0.013456686,0.013147515,0.01753745,0.021497121,0.018985928,0.010875476,0.011756802,0.008935825,0.018867925,-0.008959338,0.012091898,0.009203866,-0.00723589,-0.004810005,0.031988873,-0.003664583,-0.00270793,0.053186392
2016/9/1,0.024528973,0.024558711,0.007770763,0.019505233,0.018453427,0.020164302,0.013197587,-0.00627761,0.019070322,0.009661836,0.015512784,0.030974709,0.007989691,0.0251606,0.026132732,0.034761697,0.047875202,0.007583251,0.027738693,0.025764895,-0.042597765,0.008301708,0.010421386,0.022863364,0.033446437,0.031564501,0.012497307,0.005032907,0.011337868
2016/10/3,-0.051353227,-0.012396694,-0.01884058,-0.007932804,-0.022355976,-0.012359142,-0.008559732,0.032552693,-0.016046512,-0.008118434,-0.025183928,-0.009706045,-0.016888434,-0.031515152,-0.032733224,-0.023613747,-0.035420945,-0.014412054,-0.016741289,-0.030811232,0.000735294,-0.017168391,-0.018398026,-0.023598297,-0.029439252,0.000443459,-0.032682513,-0.026214341,0.016591928
2016/11/1,-0.032684539,-0.031345566,-0.034107761,0.005223172,0.01759015,-0.037504642,-0.004881712,-0.016557042,-0.033134684,-0.013087736,-0.027721039,-0.037412096,-0.016461981,-0.028858218,-0.031740034,-0.013388037,-0.041511442,-0.018691589,-0.033878039,0.014118596,0.095132743,-0.017299375,-0.016291877,-0.013676149,-0.057352941,-0.065159574,-0.033658105,0.009580838,-0.01055409
2016/12/1,-0.009097801,0,0.030271934,0.034139403,-0.050788091,0.005074161,-0.006095238,0.0027894,0.006235969,0.006445216,-0.169267707,0.005938242,0.022951695,-0.022790439,-0.012740102,-0.024143986,-0.019433648,0.022540984,-0.005006258,0.005568815,-0.009408602,0.023067485,0.022217025,-0.018051206,0.002097535,-0.002370792,0.021759259,0.038846616,-0.022222222
2017/1/3,0.052055828,0.051292247,0.029717682,0.025454545,0.071038251,0.054636399,0.045955184,-0.008412915,0.054193232,0.024817518,0.040720721,0.062792056,0.032693306,0.063462261,0.06456044,0.064458769,0.05605889,0.032824934,0.044934471,0.059335443,0.104487609,0.034055728,0.03315921,0.049777117,0.044117647,0.064163498,0.037897586,0.0076599,-0.005909091
2017/2/1,0.034987504,0.012466944,0.007208073,0.006625442,0.057216055,0.016739447,0.014477018,0.060408713,0.019047619,0.008037825,0.023199446,0.034075295,0.007507508,0.025907649,0.023328435,0.019403296,0,0.007677543,0.024950495,0.01938129,0.015042118,0.010110294,0.009857612,0.020102275,0.029588766,0.047789192,0.012126462,0.03525398,0.049382716
2017/3/1,0.02483838,0.04220659,0.02743614,0.020716444,0.016627078,0.019780996,-0.002474373,0.022588136,0.020444844,0.008800371,0.020826335,-0.003098373,0.018645731,0.028415858,0.026311111,0.026219512,0.033243968,0.018524333,0.021571649,0.030730296,-0.081656805,0.018672666,0.0182247,0.029270798,0.031639501,0.049040512,0.023142251,0.020253165,0.026742657
2017/4/3,-0.008344459,0.031238907,0.017997231,0.01905972,0.00617284,0.013769363,0.010316613,0.024810334,0.012469919,0.008652095,0.011861614,0.012122775,0.020938628,0.012812089,0.014452856,0.01194439,0.028022833,0.020036991,0.009384384,0.015056022,-0.043309632,0.020755134,0.02064027,-0.001509054,0.009771987,0.007723577,0.027610546,0.032600992,0.027362121
2017/5/1,0.058862876,0.054733219,0.025236593,0.013642001,0.037735849,0.020290835,0.0168185,0.005230336,0.018494624,0.018393899,0.020368574,0.0179565,0.02653205,0.036210799,0.040809444,0.039321511,0.026946108,0.028304727,0.019259259,0.035346603,0.001335113,0.027831715,0.024856204,0.01180775,0.012351327,0.034040849,0.023489259,0.025623505,0.009109731
2017/6/1,-0.003450439,0.003245699,-0.003071523,0.006127451,0.013620072,-0.003624382,0.014060357,0.002589641,0.002511511,0.007863696,0.002199183,0.013882003,-0.003394433,0.005255023,0.011466408,0.011369888,0.004859086,-0.000582072,0.00631427,0.002310231,0.024291498,-0.001668057,-0.001193555,0.005383361,-0.004492363,0.015384615,0.007036747,-0.030023095,0.017508143
2017/7/3,0.040101042,0.061708347,0.031332745,0.032507111,0.048319328,0.053947368,0.052719946,0.017111023,0.050301393,0.037516171,0.029430182,0.057967499,0.03520327,0.047378105,0.049028972,0.052173913,0.046905222,0.033750364,0.035439413,0.052439429,0.23853211,0.032547465,0.032835821,0.034337545,0.046325167,0.063516068,0.034227927,-0.001698947,0.017131474
2017/8/1,-0.000301477,0.0215478,0.009778912,0.006259781,0.039677202,0.015547264,-0.009174312,0.048794827,0.018117369,0.014403292,0.011195159,0.020403485,-0.000655022,0.011497599,0.011305396,0.005464481,0.009095043,0.00140056,0.015678842,0.003139717,0.080171032,0.000401687,-0.000957304,0.006856787,0.012293345,0.015946137,0.022667666,0.009830508,0.021110242
2017/9/1,-0.014732411,0.005334914,0.005478298,0.008142691,0.060664112,-0.009717583,-0.000317158,-0.010192735,-0.006723012,0.005672609,-0.006569125,0.003351206,0.016543317,-0.002863688,-0.001782266,0.004069866,0.016223524,0.016178522,-0.012645422,0.010585305,0.080077183,0.015615616,0.015860883,-0.011715739,0.011254689,0.003799655,0.004557885,0.023411371,0.011791556
2017/10/2,0.029188203,0.010834553,0.00083717,0.006146754,0.007155635,0.033088235,0.021329987,-0.014711359,0.032089697,0.031325301,0.02108076,0.016892643,0.020145735,0.039061382,0.045123942,0.048915784,-0.00443459,0.018945634,0.026536552,-0.004012346,0.037969095,0.01951508,0.020316027,0.021114734,-0.005363036,0.03545611,0.025231439,0.025024374,-0.006374203
2017/11/1,-0.005808888,-0.01216686,-0.002502085,-0.004952381,-0.002354326,-0.00736377,0.006666667,0.021889616,-0.004283852,-0.010514019,0.011049724,0.010876659,0.001466583,-0.004368601,-0.005491411,0.002374545,0.044097996,0.004030091,0.006984866,0.006176652,0.040421053,0.003858025,0.002940096,-0.008306902,0.0218107,0.008256275,0.004256074,-0.008547009,0.02863518
2017/12/1,0.024089307,0.020796719,0.013394726,0.039185555,0.070671378,0.047107931,0.024056029,-0.009184225,0.042905533,0.029002781,0.0323793,0.047102236,0.022007965,0.032022084,0.028477858,0.026265521,0.031143345,0.020687802,0.043405954,0.018575851,0.09076175,0.023314066,0.012662874,0.030414183,0.050464271,0.039046989,0.022077005,0.012808197,0.022053507
2018/1/2,0.042389758,0.084012363,0.032006565,0.043382353,0.032310178,0.060784314,0.06138556,0.026478056,0.059302531,0.051194539,0.041505257,0.043911364,0.043204868,0.050039298,0.056930358,0.063752277,0.044554455,0.047705944,0.052656472,0.04616307,-0.004737609,0.045827124,0.046645138,0.050029429,0.029981025,0.052222568,0.040869115,0.013295347,0.017140773
2018/2/1,-0.025627045,-0.048951049,-0.033306899,-0.037947997,0.003723404,-0.045454545,-0.042924398,0.02956613,-0.04534687,-0.042971595,-0.025360384,-0.023552502,-0.050738725,-0.047968612,-0.054486346,-0.055836099,-0.016147636,-0.053509209,-0.035061206,-0.046919977,-0.025018129,-0.052237475,-0.05163836,-0.038760787,-0.03312477,-0.039426523,-0.051641643,-0.030551181,0.04232249
2018/3/1,0.000283768,0.011322839,-0.007027697,-0.00593692,-0.020956475,0.008700533,-0.02143906,-0.040552053,0.008331856,-0.000759013,0.02406639,0.011940903,0.004972032,0.011984021,0.008934708,0.016470947,0.003203845,0.005312085,0.003935768,0.000909366,-0.066041276,0.006848012,0.00658015,0.00597104,-0.015619048,-0.006853583,0.034770268,0.020536602,-0.039597315
2018/4/2,-0.011258661,-0.00605227,0.007633588,0.023246951,-0.003932584,-0.006775833,0.021081577,-0.01851519,-0.007883892,0.010835913,-0.007429829,-0.012886071,0.019862011,0.002145347,0.001808318,0.010774203,-0.044705882,0.024193548,-0.010304375,0.013468013,0.010757137,0.021492996,0.020475927,0.004006529,-0.027240426,-0.007073955,0.004731032,0.033278418,-0.009034051
2018/5/1,0.00617284,-0.009994448,-0.026349341,-0.016201959,0.048931384,-0.023123037,-0.002692998,0.03183315,-0.018686502,-0.010336907,0.005849582,0.007908429,-0.015223205,-0.001206596,-0.006529592,-0.010227446,-0.012722646,nan,nan,-0.026092233,-0.051631557,-0.016217236,-0.014130435,-0.004037081,-0.039263804,-0.012329656,0.003513703,0.019402036,0.039772727
2018/6/1,-0.058532324,-0.038429407,-0.026510213,-0.031764256,-0.075159915,-0.053468208,-0.019654556,-0.011347518,-0.057059254,-0.038786482,-0.0413812,-0.075275398,-0.028826213,-0.062508295,-0.062792619,-0.059532896,-0.012457045,-0.029255319,-0.058231955,-0.029938272,-0.106309421,-0.03019943,-0.030225783,-0.037929496,-0.059915612,-0.057698541,-0.016019502,-0.017006803,0.022222222
2018/7/2,0.018999367,0.034563562,0.045126354,0.0392,-0.036321031,0.033950617,0.041589075,-0.044885551,0.042582418,0.037903226,0.036681223,0.021481316,0.038378611,0.032110092,0.031854719,0.027507824,-0.008264463,0.037631433,0.040333797,0.043800322,-0.032859245,0.038955903,0.036432638,0.047776206,0.043181818,0.029913043,0.044722719,0.033196333,-0.041440217
2018/8/1,-0.023125,-0.003724928,-0.027838191,-0.038043478,-0.041079093,-0.024353578,-0.01354198,0.045950603,-0.026714665,-0.012504885,0.006228766,-0.036671058,-0.018769552,-0.013452915,-0.006413059,-0.000647773,0.012719298,-0.017684887,-0.01440536,-0.012111801,-0.072276717,-0.019116804,-0.019676352,0.010440309,-0.048898678,-0.022146508,-0.005681818,-0.000920245,0.032328369
2018/9/4,-0.013015873,0.015643105,0.017623136,0.02451982,-0.020208605,0.025165146,-0.010067114,-0.010720887,0.01033181,-0.0020008,0.014423077,-0.010494403,0.016781411,0.000143719,-0.005364327,0.002614806,-0.025985275,0.018242123,0.006589214,0.007602154,0.026151222,0.016768593,0.014429466,0.02032767,0.004743833,0.003207413,-0.001579502,-0.007730365,-0.005629838
2018/10/1,-0.11626409,-0.119122257,-0.071333629,-0.079840319,-0.121333333,-0.087009804,-0.094607088,0.008471386,-0.087136113,-0.078431373,-0.087210922,-0.085041225,-0.082472052,-0.10611951,-0.106246264,-0.122502031,-0.100933748,-0.082384824,-0.076010318,-0.088972431,-0.120022124,-0.085349332,-0.087070254,-0.084710436,-0.085619678,-0.100355872,-0.086994574,-0.069745815,-0.007516106
2018/11/1,0.012491078,0.0149159,0,-0.008993576,0,0.012711864,-0.008640744,-0.099065421,0.011872527,0.008853288,0.014974543,0.016966068,-0.003838338,0.02348367,0.018557366,0.014122274,-0.009448036,-0.000290276,0.018373658,0.020242915,-0.004813478,-0.002703827,-0.001407035,0.00286214,0.026473526,0.02143951,-0.025145431,-0.00498008,-0.10746484
2018/12/3,-0.067808219,-0.068552106,-0.050420168,-0.080357143,-0.093006993,-0.049542442,-0.045926919,0.00831643,-0.050352467,-0.053820871,-0.017114193,-0.064040599,-0.062765245,-0.056158075,-0.055857254,-0.053244307,-0.057730924,-0.064304087,-0.04041652,-0.078724789,-0.203758074,-0.063873485,-0.062909307,-0.051039404,-0.049689441,-0.060639471,-0.06730951,-0.081848185,0.010806638
2019/1/2,0.106227106,0.104809287,0.078094303,0.101341971,0.142967543,0.095505618,0.080255682,-0.049554014,0.09352518,0.087257019,0.06327207,0.108941418,0.079167663,0.093358694,0.093027098,0.106165633,0.065670048,0.077393698,0.085405999,0.090042373,0.066423358,0.076872392,0.078718438,0.087543196,0.091959799,0.107408859,0.091371591,0.077474892,-0.046275395
2019/2/1,0.027018012,0.04082858,0.006846189,0.02312868,0.08137189,-0.009711684,0.028099174,0.106338176,-0.00525394,0.001596806,0.011363636,-0.011376828,0.017765934,0.010948905,0.006990881,0.007149983,0.054162487,0.018760659,-0.008611955,0.01158674,0.092465753,0.018393624,0.017927502,0.016008538,0.005999077,0.003554924,0.019044063,0.035418736,0.076405384
2019/3/1,-0.00228013,0.008027523,0.006326254,0.011015912,-0.019643953,0.014127764,0.021864952,0.014299333,0.019972587,0.013916501,0.009251472,0.007717493,0.011070111,0.014392631,0.019737833,0.005428524,0.021387833,0.012802672,0.011724724,0.000637146,-0.011875,0.018769968,0.018529241,0.010329341,0.035369775,0.03113942,0.014342774,0.013261762,0.016917985
